Model,Mode,Stock,Trial,Status,Lag_Count,Target_Transform,Estimator,Best_Params,Selection_Metric,Selection_Score,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Val_PinballLoss,Val_Bias
gbm_quantile,sentiment,MRK,6,ok,20,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.4433032363631054,0.8866064727262108,1.4575441292341416,1.207287923088002,0.9703235840476903,0.4433032363631054,-0.4462705450572064
gbm_quantile,sentiment,MRK,7,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.42057155837776805,0.8411431167555361,1.371190866940644,1.1709785937158048,0.9698606405458355,0.42057155837776805,-0.3317781080400549
gbm_quantile,sentiment,MRK,8,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.40960341250665583,0.8192068250133117,1.3369400964913112,1.156261257887382,0.9694102813003057,0.40960341250665583,-0.257406597656266
gbm_quantile,sentiment,MRK,9,ok,40,difference,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.4140946694004922,0.8281893388009844,1.3517625338209567,1.1626532302543853,0.9702876835852893,0.4140946694004922,-0.2887617155356733
gbm_quantile,sentiment,MRK,10,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.49216683826056806,0.9843336765211361,1.6867736309303614,1.298758495999299,0.9629239969386283,0.49216683826056806,-0.6237674391845762
gbm_quantile,sentiment,MRK,11,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.4178642288580427,0.8357284577160854,1.3633369865957627,1.167620223615437,0.9688063100042387,0.4178642288580427,-0.30526846213791814
gbm_quantile,sentiment,ORCL,1,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.9}",PinballLoss,0.32076903254194317,0.6415380650838863,0.9391648071224841,0.9691051579279124,0.9612414790384338,0.32076903254194317,-0.19541641916980074
gbm_quantile,sentiment,ORCL,2,ok,20,difference,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.3598938701935628,0.7197877403871256,1.028888782797089,1.0143415513509682,0.9543355306256283,0.3598938701935628,-0.3517721179069021
gbm_quantile,sentiment,ORCL,3,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.3169319899880262,0.6338639799760524,0.9306125318542026,0.9646826067957287,0.9615944240569662,0.3169319899880262,-0.18380269587953943
gbm_quantile,sentiment,ORCL,4,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.3102647123974056,0.6205294247948112,0.9139186328175725,0.9559909167024405,0.9622833668610773,0.3102647123974056,-0.1389331656997592
gbm_quantile,sentiment,ORCL,5,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.32587131159461513,0.6517426231892303,0.9504893331061683,0.9749304247515145,0.9594595343519564,0.32587131159461513,-0.21724350633841538
gbm_quantile,sentiment,ORCL,6,ok,20,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.32029332334119237,0.6405866466823847,0.9080553769703701,0.9529193968906132,0.9596983972950217,0.32029332334119237,-0.20549465445438847
gbm_quantile,sentiment,ORCL,7,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.30869144028011847,0.6173828805602369,0.904773852065327,0.9511960113800557,0.9614094004095411,0.30869144028011847,-0.10806548890133764
gbm_quantile,sentiment,ORCL,8,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.31667781169150094,0.6333556233830019,0.927052352067327,0.9628355789371968,0.9617413496038457,0.31667781169150094,-0.18105596955631473
gbm_quantile,sentiment,ORCL,9,ok,40,difference,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.3050978478645723,0.6101956957291446,0.8946737084567347,0.9458719302615628,0.9618401938027361,0.3050978478645723,-0.08717835169082128
gbm_quantile,sentiment,ORCL,10,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.35415999516876284,0.7083199903375257,1.0357845069808023,1.0177349885804272,0.9558215071316949,0.35415999516876284,-0.32372031104070337
gbm_quantile,sentiment,ORCL,11,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.3192359528201964,0.6384719056403928,0.9413362303961375,0.9702248349718416,0.961151866274167,0.3192359528201964,-0.19577934903753405
